iter	Passed	Remaining
686	2234	1017
687	2235	1013
688	2237	1009
689	2239	1005
690	2240	1001
691	2242	997
692	2243	993
693	2245	989
694	2246	985
695	2248	981
696	2249	977
697	2253	975
698	2255	971
699	2256	967
700	2258	963
701	2259	959
702	2261	955
703	2262	951
704	2264	947
705	2268	944
706	2270	940
707	2271	936
708	2273	933
709	2274	929
710	2275	925
711	2276	921
712	2278	917
713	2282	914
714	2284	910
715	2285	906
716	2287	902
717	2288	898
718	2289	894
719	2291	891
720	2292	887
721	2296	884
722	2298	880
723	2300	876
724	2301	873
725	2303	869
726	2304	865
727	2306	861
728	2311	859
729	2313	855
730	2314	851
731	2316	848
732	2318	844
733	2322	841
734	2325	838
735	2327	834
736	2328	830
737	2330	827
738	2331	823
739	2333	819
740	2335	816
741	2338	813
742	2340	809
743	2341	805
744	2343	802
745	2344	798
746	2346	794
747	2347	790
748	2348	787
749	2349	783
750	2351	779
751	2354	776
752	2355	772
753	2356	768
754	2358	765
755	2359	761
756	2361	757
757	2363	754
758	2368	752
759	2370	748
760	2372	745
761	2373	741
762	2375	737
763	2376	734
764	2378	730
765	2379	726
766	2382	723
767	2383	720
768	2384	716
769	2385	712
770	2387	709
771	2389	705
772	2391	702
773	2393	698
774	2397	696
775	2399	692
776	2400	689
777	2402	685
778	2403	681
779	2404	678
780	2405	674
781	2406	670
782	2408	667
783	2411	664
784	2412	660
785	2413	657
786	2415	653
787	2417	650
788	2419	646
789	2420	643
790	2421	639
791	2422	636
792	2425	633
793	2426	629
794	2428	626
795	2429	622
796	2431	619
797	2432	615
798	2433	612
799	2434	608
800	2436	605
801	2438	602
802	2440	598
803	2442	595
804	2443	591
805	2444	588
806	2446	585
807	2447	581
808	2448	578
809	2450	574
810	2452	571
811	2454	568
812	2455	564
813	2457	561
814	2461	558
815	2462	555
816	2463	551
817	2464	548
818	2465	544
819	2467	541
820	2469	538
821	2471	535
822	2472	531
823	2474	528
824	2475	525
825	2477	521
826	2478	518
827	2481	515
828	2484	512
829	2486	509
830	2488	506
831	2489	502
832	2491	499
833	2493	496
834	2495	493
835	2496	489
836	2498	486
837	2500	483
838	2501	480
839	2503	476
840	2504	473
841	2507	470
842	2508	467
843	2510	463
844	2511	460
845	2512	457
846	2513	454
847	2514	450
848	2515	447
849	2517	444
850	2518	440
851	2522	438
852	2523	434
853	2524	431
854	2526	428
855	2527	425
856	2528	421
857	2529	418
858	2530	415
859	2532	412
860	2533	408
861	2535	405
862	2536	402
863	2537	399
864	2539	396
865	2540	393
866	2541	389
867	2542	386
868	2543	383
869	2545	380
870	2548	377
871	2549	374
872	2551	371
873	2552	367
874	2553	364
875	2554	361
876	2556	358
877	2557	355
878	2559	352
879	2563	349
880	2564	346
881	2566	343
882	2567	340
883	2568	337
884	2569	333
885	2572	330
886	2573	327
887	2577	325
888	2578	321
889	2580	318
890	2581	315
891	2583	312
892	2585	309
893	2586	306
894	2587	303
895	2591	300
896	2592	297
897	2593	294
898	2597	291
899	2598	288
900	2601	285
901	2602	282
902	2607	280
903	2608	277
904	2610	274
905	2612	271
906	2613	267
907	2614	264
908	2615	261
909	2616	258
910	2617	255
911	2620	252
912	2621	249
913	2623	246
914	2624	243
915	2625	240
916	2626	237
917	2628	234
918	2629	231
919	2630	228
920	2631	225
921	2633	222
922	2634	219
923	2636	216
924	2637	213
925	2639	210
926	2640	207
927	2641	204
928	2642	201
929	2644	199
930	2646	196
931	2648	193
932	2649	190
933	2650	187
934	2652	184
935	2653	181
936	2654	178
937	2655	175
938	2657	172
939	2659	169
940	2661	166
941	2663	163
942	2664	161
943	2666	158
944	2667	155
945	2668	152
946	2669	149
947	2671	146
948	2672	143
949	2674	140
950	2675	137
951	2677	134
952	2679	132
953	2680	129
954	2682	126
955	2683	123
956	2684	120
957	2687	117
958	2688	114
959	2691	112
960	2692	109
961	2694	106
962	2695	103
963	2697	100
964	2698	97
965	2701	95
966	2702	92
967	2704	89
968	2705	86
969	2706	83
970	2707	80
971	2709	78
972	2710	75
973	2711	72
974	2712	69
975	2716	66
976	2717	63
977	2719	61
978	2721	58
979	2723	55
980	2725	52
981	2726	49
982	2727	47
983	2730	44
984	2731	41
985	2732	38
986	2736	36
987	2737	33
988	2738	30
989	2739	27
990	2741	24
991	2745	22
992	2746	19
993	2748	16
994	2749	13
995	2752	11
996	2753	8
997	2755	5
998	2758	2
999	2759	0
